city,city_label,listing_count,median_unit_price_yuan_m2,mean_unit_price_yuan_m2,median_total_price_10k_yuan,median_area_m2
海东,海东,55,4845.0,5164.254545454545,58.0,118.86
鹤壁,鹤壁,119,4845.0,4960.27731092437,54.0,105.0
东港,东港,90,4834.0,5963.0,38.5,85.5
昭通,昭通,115,4833.0,5352.321739130435,55.1,120.0
长葛,长葛,118,4772.5,4614.71186440678,60.0,133.005
周口,周口,120,4762.0,4808.166666666667,57.5,120.60499999999999
酒泉,酒泉,118,4746.5,4916.338983050848,49.0,108.0
伊犁,伊犁,59,4737.0,4850.3050847457625,44.0,92.0
安顺,安顺,119,4662.0,5050.3865546218485,55.0,117.0
临汾,临汾,117,4659.0,5058.880341880342,50.0,113.0
十堰,十堰,118,4658.0,5292.864406779661,42.7,106.0
白银,白银,117,4651.0,5163.717948717948,50.0,99.7
楚雄,楚雄,115,4638.0,5404.75652173913,50.0,119.0
焦作,焦作,117,4634.0,5059.820512820513,50.0,122.0
娄底,娄底,119,4631.0,4700.655462184874,59.0,135.0
文山,文山,112,4596.5,5201.8125,56.5,128.95
大同,大同,119,4588.0,4987.193277310925,38.0,89.0
耒阳,耒阳,114,4571.5,4911.649122807017,50.8,118.315
锦州,锦州,120,4564.0,4975.266666666666,39.5,84.82
钦州,钦州,118,4542.0,4707.033898305085,53.05,119.345
定西,定西,118,4531.0,4828.9915254237285,49.0,103.5
崇左,崇左,120,4528.5,4991.283333333334,53.0,120.0
通化,通化,117,4519.0,4784.735042735043,39.0,88.63
延边,延边,120,4516.0,4535.666666666667,35.5,89.705
